Created - 15:27:13.689596: Large marble: Big Joe, marbles: Blue Bell, Ivory, Indigo, Icterine, Indigo, Arylide Yellow, Thulian Pink 
Created - 15:27:14.080805: Large marble: 5-Star, marbles: Terra Cotta, Pastel Gray, Royal Orange, Orange Soda, Brown, Silver Chalice, Spanish Orange 
Created - 15:27:14.441911: Large marble: Spinner, marbles: Mint Green, Pastel Blue, Sheen Green, Pale Plum, Zomp, Ivory, Silver Pink 
Created - 15:27:14.796125: Large marble: Zeus, marbles: Mint Cream, Gold, Stop Red, Russian Violet, Blue-Green, Russian Violet, Orange Peel 
Created - 15:27:15.157006: Large marble: Sure Shot, marbles: Lemon Lime, Pale Cerulean, Arylide Yellow, Fiery Rose, Middle Green, Antique Brass, Emerald 
Created - 15:27:15.516642: Large marble: Sure Shot, marbles: Royal Red, Neon Dark Green, Blue, Auburn, Lilac Luster, Isabelline, Golden Yellow 
Created - 15:27:15.902589: Large marble: Winner, marbles: Pale Plum, Icterine, Rose Quartz, Arylide Yellow, Maximum Blue, White Smoke, Venetian Red 
Created - 15:27:16.277412: Large marble: Sure Shot, marbles: Royal Blue, Royal Red, Platinum, Russian Green, Cobalt Blue, La Salle Green, Golden Yellow 
Created - 15:27:16.638837: Large marble: Spinner, marbles: Middle Green, Lumber, Antique Brass, Gold, Silver Chalice, Silver Chalice, Pale Cerulean 
Created - 15:27:16.999448: Large marble: Hercules, marbles: Ruby, Safety Yellow, Middle Green Yellow, Mango Tango, Purple Plum, Sheen Green, Ruby 
Created - 15:27:17.359374: Large marble: 5-Star, marbles: Lumber, Terra Cotta, Orange Soda, Neon Dark Green, Stop Red, Purple, Purple 
Created - 15:27:17.719723: Large marble: Zeus, marbles: Liver Chestnut, Lavender Blue, Terra Cotta, Pale Taupe, Lilac Luster, Purple, Isabelline 
Created - 15:27:18.103066: Large marble: Apollo, marbles: Gold, Neon Silver, Bistre Brown, Indigo, Maximum Purple, Terra Cotta, Lemon Lime 
Created - 15:27:18.465476: Large marble: Spinner, marbles: Green, Royal Orange, Arylide Yellow, Icterine, Lumber, Maximum Blue, Sage 
Created - 15:27:18.823171: Large marble: Zeus, marbles: Royal Blue, Stop Red, Mulberry, Gold, Ivory, Rose Dust, Spanish Carmine 
Created - 15:27:19.178675: Large marble: Sure Shot, marbles: Blue-Green, Dark Fuchsia, Tuscan Brown, Sheen Green, Russian Green, Auburn, Mulberry 
Created - 15:27:19.536961: Large marble: Lucky, marbles: Brink Pink, Lavender Blue, Orange Soda, Dark Fuchsia, Tuscan Brown, Mint Cream, Middle Green Yellow 
Created - 15:27:19.891664: Large marble: Lucky, marbles: Mimi Pink, Lavender Blue, Middle Green Yellow, Cobalt Blue, Dark Moss Green, Royal Blue, Terra Cotta 
Created - 15:27:20.248473: Large marble: Sure Shot, marbles: Neon Pink, Vegas Gold, Candy Pink, Duke Blue, Platinum, Middle Green Yellow, Mulberry 
Created - 15:27:20.608990: Large marble: Big Joe, marbles: Candy Pink, Liver Chestnut, Cotton Candy, Royal Orange, Lemon Lime, Brink Pink, Russian Violet 
Created - 15:27:20.964623: Large marble: Big Joe, marbles: Mint Cream, Blue, Brink Pink, Silver Chalice, Mango Tango, Neon Dark Green, Orange Soda 
Created - 15:27:21.325808: Large marble: Sure Shot, marbles: Gold, Honeydew, Granny Smith Apple, Middle Green Yellow, Beaver, Mint Green, Ruby 
Created - 15:27:21.685528: Large marble: Zeus, marbles: La Salle Green, Brown, Pale Taupe, Arylide Yellow, Liver Chestnut, Brink Pink, Chinese Red 
Created - 15:27:22.044838: Large marble: Hercules, marbles: Duke Blue, Lavender Purple, Slate Blue, Mimi Pink, Vegas Gold, Lilac Luster, Lumber 
Created - 15:27:22.404964: Large marble: 5-Star, marbles: Brown, Spanish Orange, Gold, Mode Beige, Shandy, Brown, Mint Green 
Created - 15:27:22.763159: Large marble: Sure Shot, marbles: Royal Blue, Middle Green Yellow, Purple Plum, Spanish Pink, Cotton Candy, Rose Dust, Fiery Rose 
Created - 15:27:23.121285: Large marble: Lucky, marbles: White Smoke, Middle Red Purple, Orange Peel, Sage, Sheen Green, Pale Taupe, Beaver 
Created - 15:27:23.480526: Large marble: Big Joe, marbles: Antique Brass, Middle Red Purple, Antique Bronze, Blue, Pastel Blue, Mulberry, Eerie Black 
Created - 15:27:23.839680: Large marble: Hercules, marbles: Maximum Purple, Brown, La Salle Green, Neon Dark Green, Green, Lavender Blue, Almond 
Created - 15:27:24.198102: Large marble: Sure Shot, marbles: Neon Pink, Middle Green Yellow, Sage, Middle Red Purple, Sheen Green, Fiery Rose, Slate Blue 
Created - 15:27:24.574015: Large marble: Big Joe, marbles: Maximum Purple, Brown, Isabelline, Maximum Violet, Antique Brass, Terra Cotta, Mint Green 
Created - 15:27:24.934822: Large marble: Sure Shot, marbles: Pale Goldenrod, Platinum, Russian Green, Chinese Red, Antique Bronze, Gold, Middle Green Yellow 
Created - 15:27:25.294460: Large marble: 5-Star, marbles: Spanish Carmine, Outrageous Orange, Light Orchid, Terra Cotta, Dark Moss Green, Brown, Brink Pink 
